State,Crime,Sentence_mean,Seriousness
Northern Territory,07 Unlawful entry with intent,2.6,Very Serious
Northern Territory,08 Theft,2.9,Less Serious
Northern Territory,09 Fraud/deception,0,Less Serious
Northern Territory,10 Illicit drug offences,5,Less Serious
Northern Territory,11 Weapons/explosives ,1,Less Serious
Northern Territory,12 Property damage and environmental pollution,1.7,Less Serious
Northern Territory,13 Public order offences,1.1,Less Serious
Northern Territory,14 Traffic and vehicle regulatory offences,0.6,Less Serious
Northern Territory,15 Offences against justice,1.3,Less Serious
Northern Territory,16 Miscellaneous offences,0,Less Serious
Australian Capital Territory,01 Homicide and related offences,18.5,Very Serious
Australian Capital Territory,02 Acts intended to cause injury,6.5,Very Serious
Australian Capital Territory,03 Sexual assault and related offences,9.7,Very Serious
Australian Capital Territory,04 Dangerous/negligent acts,3.1,Very Serious
Australian Capital Territory,05 Abduction/harassment ,0,Very Serious
Australian Capital Territory,06 Robbery/extortion,6.9,Very Serious
Australian Capital Territory,07 Unlawful entry with intent,4.2,Very Serious
Australian Capital Territory,08 Theft,1.2,Less Serious
Australian Capital Territory,09 Fraud/deception,n.p.,Less Serious
Australian Capital Territory,10 Illicit drug offences,6.2,Less Serious
Australian Capital Territory,11 Weapons/explosives ,3.4,Less Serious
Australian Capital Territory,12 Property damage and environmental pollution,3.9,Less Serious
Australian Capital Territory,13 Public order offences,0,Less Serious
Australian Capital Territory,14 Traffic and vehicle regulatory offences,0,Less Serious
Australian Capital Territory,15 Offences against justice,1.9,Less Serious
Australian Capital Territory,16 Miscellaneous offences,0,Less Serious
Australia,01 Homicide and related offences,17.3,Very Serious
Australia,02 Acts intended to cause injury,3.1,Very Serious
Australia,03 Sexual assault and related offences,8.7,Very Serious
Australia,04 Dangerous/negligent acts,2.8,Very Serious
Australia,05 Abduction/harassment ,5.1,Very Serious
Australia,06 Robbery/extortion,5.3,Very Serious
Australia,07 Unlawful entry with intent,3.3,Very Serious
Australia,08 Theft,2,Less Serious
Australia,09 Fraud/deception,3.4,Less Serious
Australia,10 Illicit drug offences,7.2,Less Serious
Australia,11 Weapons/explosives ,3.3,Less Serious
Australia,12 Property damage and environmental pollution,3.3,Less Serious
Australia,13 Public order offences,2.6,Less Serious
Australia,14 Traffic and vehicle regulatory offences,0.9,Less Serious
Australia,15 Offences against justice,1.6,Less Serious
Australia,16 Miscellaneous offences,4.5,Less Serious
